week,corona,virus,lockdown,quarantine
2019-05-05,0,1,0,0
2019-05-12,0,1,0,0
2019-05-19,0,1,0,0
2019-05-26,1,1,0,0
2019-06-02,1,1,0,0
2019-06-09,1,1,0,0
2019-06-16,1,1,0,0
2019-06-23,1,1,0,0
2019-06-30,1,1,0,0
2019-07-07,1,1,0,0
2019-07-14,1,1,0,0
2019-07-21,1,1,0,0
2019-07-28,1,1,0,0
2019-08-04,0,1,0,0
2019-08-11,0,1,0,0
2019-08-18,0,1,0,0
2019-08-25,0,1,0,0
2019-09-01,1,1,0,0
2019-09-08,0,1,0,0
2019-09-15,1,1,0,0
2019-09-22,0,1,0,0
2019-09-29,0,1,0,0
2019-10-06,0,1,0,0
2019-10-13,0,1,0,0
2019-10-20,0,1,0,0
2019-10-27,0,1,0,0
2019-11-03,1,1,0,0
2019-11-10,1,1,0,0
2019-11-17,1,1,0,0
2019-11-24,1,1,0,0
2019-12-01,1,1,0,0
2019-12-08,1,1,0,0
2019-12-15,1,1,0,0
2019-12-22,1,1,0,0
2019-12-29,0,1,0,0
2020-01-05,0,1,0,0
2020-01-12,0,1,0,0
2020-01-19,3,7,0,0
2020-01-26,12,15,0,0
2020-02-02,8,9,0,0
2020-02-09,7,7,0,0
2020-02-16,6,6,0,0
2020-02-23,20,16,0,0
2020-03-01,30,20,0,0
2020-03-08,67,35,1,2
2020-03-15,100,48,7,5
2020-03-22,89,40,9,4
2020-03-29,62,25,5,3
2020-04-05,47,18,6,2
2020-04-12,39,13,5,2
2020-04-19,33,11,5,2
2020-04-26,29,9,6,2
